Git Issue Id;Title;Labels;State;AssigneeName;IssueCreatedAt;IssueClosedDate;Severity
4724;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Zenith;25/02/2020;2020-03-03;Major
4725;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;25/02/2020;2020-04-14;Major
4736;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;27/02/2020;2020-04-07;Major
4755;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;03/03/2020;2020-03-13;Major
4756;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;03/03/2020;2020-03-09;Major
4757;terraform issue;" [security;vams]"; closed;Adam;03/03/2020;2020-03-09;Major
4758;LibreSSL vulnerability - issue;" [security;vams]"; closed;Adam;03/03/2020;2020-03-09;Major
4765;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;03/03/2020;2020-04-14;Major
4776;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;04/03/2020;2020-03-05;Blocker
4782;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-13;Major
4783;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4784;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4785;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4786;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4787;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4788;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4789;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Zenith;05/03/2020;2020-03-19;Major
4792;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-13;Major
4818;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Zenith;10/03/2020;2020-03-12;Major
4820;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;10/03/2020;2020-03-16;Blocker
4829;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;11/03/2020;2020-03-23;Major
4830;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4831;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4832;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4833;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4834;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4835;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4836;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4845;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-13;Major
4847;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4848;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4849;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4850;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4851;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4852;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4853;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4854;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4855;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4858;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4859;Kubernetes vulnerability ;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4860;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4861;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4862;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4863;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4864;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-04-02;Major
4865;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4866;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4867;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4868;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4869;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4870;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4871;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4872;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4873;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4874;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4875;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4877;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4878;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4879;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4880;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4881;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4882;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4883;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4884;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4885;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4886;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4887;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4888;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4889;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4890;Alpine: issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4891;NMAP: issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
